ID,Address,Latitude,Longitude,IsAStudio,Beds,Baths,Size,LotSize,LotSizeUnit,BuiltInYear,DateOfSale,SalePrice
15161805,"183 Bocana St, San Francisco, CA",37740976,-122417224,False,,1.0,1275.0,2500.0,sqft,1922.0,11/17/15,1.1
15161979,"3660 Folsom St, San Francisco, CA",37740726,-122413458,False,3.0,3.0,650.0,1750.0,sqft,1902.0,12/1/15,1.95
15162350,"204 Anderson St, San Francisco, CA",37740230,-122415369,False,2.0,2.0,1140.0,1746.0,sqft,1928.0,12/2/15,1.43
15162353,"222 Anderson St, San Francisco, CA",37740024,-122415385,False,2.0,1.0,1280.0,1742.0,sqft,1906.0,11/24/15,1.3
15162638,"116 Eugenia Ave, San Francisco, CA",37741436,-122420620,False,2.0,1.0,1075.0,1751.0,sqft,1900.0,11/24/15,0.975
15162879,"270 Nevada St, San Francisco, CA",37738665,-122411652,False,3.0,4.0,2371.0,1742.0,sqft,1900.0,12/30/15,2.08
15163177,"450 Prentiss St, San Francisco, CA",37737609,-122412376,False,2.0,1.0,1070.0,1751.0,sqft,1926.0,12/10/15,0.999
15163205,"3942 Folsom St, San Francisco, CA",37737742,-122413610,False,3.0,2.5,860.0,1742.0,sqft,1908.0,12/2/15,1.8
15163213,"3990 Folsom St, San Francisco, CA",37737197,-122413659,False,3.0,2.0,1200.0,1751.0,sqft,1968.0,11/25/15,1.55
15163518,"201 Holly Park Cir, San Francisco, CA",37737764,-122418634,False,3.0,2.0,2250.0,1712.0,sqft,1910.0,12/28/15,0.255
15163654,"281 Richland Ave, San Francisco, CA",37735998,-122420814,False,3.0,2.0,1300.0,1937.0,sqft,1900.0,11/24/15,1.0
15163807,"554 Anderson St, San Francisco, CA",37736454,-122415593,False,2.0,1.0,1015.0,1751.0,sqft,1910.0,1/22/16,0.92
15163943,"580 Prentiss St, San Francisco, CA",37736075,-122412513,False,2.0,1.0,918.0,1750.0,sqft,1951.0,12/3/15,0.95
15163952,"412 Nevada St, San Francisco, CA",37736718,-122411831,False,2.0,1.0,1150.0,1750.0,sqft,1916.0,12/8/15,0.725
15164106,"4142 Folsom St, San Francisco, CA",37735325,-122413825,False,2.0,2.0,1156.0,1750.0,sqft,1996.0,11/12/15,1.32
15164191,"650 Anderson St, San Francisco, CA",37735368,-122415694,False,,1.0,1000.0,1751.0,sqft,1927.0,11/17/15,1.05
15164199,"501 Crescent Ave, San Francisco, CA",37735041,-122416045,True,,,960.0,1751.0,sqft,1905.0,12/31/15,0.87
15164877,"4021 Mission St, San Francisco, CA",37733106,-122426556,False,2.0,1.0,1239.0,2495.0,sqft,1941.0,12/11/15,1.05
15165309,"676 Sweeny St, San Francisco, CA",37730425,-122416758,False,2.0,1.0,850.0,2439.0,sqft,1942.0,12/18/15,0.72
15165568,"47 Colby St, San Francisco, CA",37729916,-122414496,False,2.0,1.0,1655.0,2622.0,sqft,1937.0,12/3/15,1.04
15165652,"374 Hale St, San Francisco, CA",37731143,-122412404,False,2.0,1.0,1044.0,2173.0,sqft,1927.0,12/22/15,0.467
15165922,"95 Stoneyford Ave, San Francisco, CA",37729425,-122421110,False,3.0,2.0,1400.0,2208.0,sqft,1942.0,1/25/16,0.91
15165953,"14 Stoneyford Ave, San Francisco, CA",37730923,-122421186,False,3.0,1.0,1158.0,2291.0,sqft,1942.0,1/5/16,0.65
15166004,"26 Stoneybrook Ave, San Francisco, CA",37730479,-122421986,False,2.0,1.0,862.0,2151.0,sqft,1942.0,12/31/15,0.7
15166222,"387-389 Silver Ave, San Francisco, CA",37728757,-122428615,False,,2.0,2750.0,2491.0,sqft,1910.0,12/29/15,0.3175
15166257,"52 Maynard St, San Francisco, CA",37729024,-122429396,False,4.0,3.0,2064.0,2949.0,sqft,1979.0,12/4/15,0.9005
15166601,"412 Pioche St, San Francisco, CA",37728074,-122422730,False,1.0,1.0,890.0,1097.0,sqft,1942.0,12/7/15,0.71
15167071,"131 Brussels St, San Francisco, CA",37730359,-122406597,False,4.0,3.0,2269.0,2761.0,sqft,1916.0,12/18/15,1.25
15167131,"155 Somerset St, San Francisco, CA",37729580,-122408459,False,2.0,1.0,1550.0,3000.0,sqft,1937.0,11/20/15,0.975
15167958,"134 Naples St, San Francisco, CA",37726623,-122427192,False,2.0,1.0,1125.0,2495.0,sqft,1925.0,12/8/15,0.6475
15168004,"130 Vienna St, San Francisco, CA",37726299,-122426347,False,4.0,3.0,1853.0,2500.0,sqft,1907.0,12/21/15,0.95
15168015,"180 Vienna St, San Francisco, CA",37725652,-122426836,False,,1.0,432.0,2495.0,sqft,1904.0,12/7/15,0.191
15168186,"888 Peru Ave, San Francisco, CA",37724048,-122423156,False,4.0,3.0,1590.0,2375.0,sqft,1931.0,12/8/15,0.975
15168244,"332 Gambier St, San Francisco, CA",37725141,-122421470,False,3.0,1.0,1435.0,2996.0,sqft,1910.0,12/7/15,0.95
15168424,"238 Princeton St, San Francisco, CA",37726682,-122415563,False,,2.0,2028.0,2975.0,sqft,1958.0,11/12/15,0.97
15169434,"184 London St, San Francisco, CA",37726328,-122432852,False,3.0,1.0,750.0,2495.0,sqft,1910.0,12/9/15,0.52
15170366,"558 Brussels St, San Francisco, CA",37725076,-122405063,False,,2.0,1500.0,,,1971.0,12/18/15,1.0
